Strain,Diet,Number,Designation ,Body Weight (g),Skin Wet weight (g),Skin Dry Weight (g),Skin relative water,Skin Ash weight (g),Cl- (mg/kg),K+ (mg/kg),Na+ (mg/kg),Total  Cl- in skin (mg),Total K+ in skin (mg),Total Na+ in skin (mg),Total  Cl- in skin (mmol),Total K+ in skin (mmol),Total Na+ in skin (mmol),rSkin Cl- (mmol /g DW),rSkin K+ (mmol /g DW),rSkin Na+ (mmol /g DW),Skin Na+/Skin W,Skin K+/Skin W,Skin (Na + K)/Skin W,%W,rskin Na+/rW,rskin K+/rW,rskin Na+K/rW,rskin (Na+K)
HXB1,Sůl,2,HXB1-S-Skin-2,321.800,63.260,24.743,0.609,0.539,152000.000,177000.000,144000.000,81.881,95.348,77.571,2.310,2.439,3.374,0.093,0.099,0.136,0.08760345953,0.06331539928,0.1509188588,60.88594121,0.2239692383,0.1618737642,0.3858430024,0.235
HXB1,Sůl,3,HXB1-S-Skin-3,281.800,52.896,19.973,0.622,0.482,107000.000,157000.000,131000.000,51.527,75.606,63.085,1.453,1.934,2.744,0.073,0.097,0.137,0.08334715349,0.05873492892,0.1420820824,62.24059792,0.2207321856,0.155550474,0.3762826596,0.234
HXB1,Voda,4,HXB1-W-Skin-4,320.300,63.574,25.039,0.606,0.557,132000.000,164000.000,128000.000,73.486,91.300,71.259,2.073,2.335,3.100,0.083,0.093,0.124,0.0804360338,0.06059849591,0.1410345297,60.61415894,0.2042257614,0.1538585803,0.3580843417,0.217
HXB1,Voda,5,HXB1-W-Skin-5,326.200,62.833,27.141,0.568,0.535,127000.000,152000.000,123000.000,67.897,81.262,65.758,1.915,2.078,2.860,0.071,0.077,0.105,0.08013816392,0.05823112532,0.1383692892,56.80521462,0.1855274039,0.1348105444,0.3203379483,0.182
HXB1,Voda,6,HXB1-W-Skin-6,307.100,59.360,23.678,0.601,0.471,133000.000,162000.000,141000.000,62.699,76.371,66.471,1.769,1.953,2.891,0.075,0.082,0.122,0.08102980313,0.0547416652,0.1357714683,60.11135935,0.2031400464,0.1372362264,0.3403762729,0.205
HXB3,Sůl,1,HXB3-S-Skin-1,253.400,47.763,20.229,0.576,0.435,131000.000,172000.000,124000.000,57.046,74.901,53.998,1.609,1.916,2.349,0.080,0.095,0.116,0.0853050099,0.06957586557,0.1548808755,57.6466205,0.2014125222,0.1642746491,0.3656871713,0.211
HXB3,Sůl,2,HXB3-S-Skin-2,247.800,44.544,18.502,0.585,0.508,87200.000,147000.000,99400.000,44.324,74.720,50.525,1.250,1.911,2.198,0.068,0.103,0.119,0.08439204123,0.07338541598,0.1577774572,58.46313115,0.2031738154,0.1766753682,0.3798491835,0.222
HXB3,Sůl,3,HXB3-S-Skin-3,301.100,56.737,23.392,0.588,0.604,111000.000,148000.000,103000.000,67.041,89.389,62.210,1.891,2.286,2.706,0.081,0.098,0.116,0.08115186661,0.06856465939,0.149716526,58.77052754,0.1968297477,0.1663001132,0.3631298609,0.213
HXB3,Voda,4,HXB3-W-Skin-4,273.200,53.973,22.316,0.587,0.494,126000.000,176000.000,124000.000,62.200,86.883,61.213,1.754,2.222,2.663,0.079,0.100,0.119,0.08410773642,0.0701946877,0.1543024241,58.65329072,0.2034206298,0.1697709175,0.3731915473,0.219
HXB3,Voda,5,HXB3-W-Skin-5,263.800,50.735,20.620,0.594,0.635,71400.000,118000.000,83100.000,45.328,74.912,52.756,1.279,1.916,2.295,0.062,0.093,0.111,0.07619971669,0.06362263599,0.1398223527,59.35723165,0.1874865315,0.1565410984,0.3440276299,0.204
HXB3,Voda,6,HXB3-W-Skin-6,285.700,54.598,23.222,0.575,0.501,135000.000,180000.000,126000.000,67.672,90.230,63.161,1.909,2.308,2.747,0.082,0.099,0.118,0.08756304474,0.0735529563,0.161116001,57.46658372,0.205868826,0.1729298108,0.3787986367,0.218
HXB18,Sůl,1,HXB18-S-Skin-1,297.900,49.295,18.645,0.622,0.630,112000.000,143000.000,98600.000,70.517,90.035,62.080,1.989,2.303,2.700,0.107,0.124,0.145,0.088102499,0.07513195129,0.1632344503,62.1767625,0.2329321994,0.1986396624,0.4315718618,0.268
HXB18,Sůl,2,HXB18-S-Skin-2,313.100,55.419,21.245,0.617,0.616,130000.000,157000.000,110000.000,80.099,96.735,67.776,2.259,2.474,2.948,0.106,0.116,0.139,0.08626715351,0.07239853096,0.1586656845,61.66453218,0.225032218,0.188855217,0.413887435,0.255
HXB18,Sůl,3,HXB18-S-Skin-3,326.300,57.055,21.663,0.620,0.572,146000.000,164000.000,123000.000,83.513,93.809,70.357,2.356,2.399,3.060,0.109,0.111,0.141,0.08647162942,0.06779375629,0.1542653857,62.03072595,0.2277410659,0.1785489926,0.4062900585,0.252
